FileName;MatchScores
D:\projects\Project2_fingerprint\Project2_fingerprint\bin\samples\L1-1.bmp;2147483647
D:\projects\Project2_fingerprint\Project2_fingerprint\bin\samples\L1-2.bmp; 2147483647
D:\projects\Project2_fingerprint\Project2_fingerprint\bin\samples\L1-3.bmp; 2147483647
D:\projects\Project2_fingerprint\Project2_fingerprint\bin\samples\L1-4.bmp; 2147483647
D:\projects\Project2_fingerprint\Project2_fingerprint\bin\samples\L1-5.bmp; 2147483647
D:\projects\Project2_fingerprint\Project2_fingerprint\bin\samples\L2-1.bmp; 2147483647
D:\projects\Project2_fingerprint\Project2_fingerprint\bin\samples\L2-2.bmp; 2147483647
D:\projects\Project2_fingerprint\Project2_fingerprint\bin\samples\L2-3.bmp; 2147483647
D:\projects\Project2_fingerprint\Project2_fingerprint\bin\samples\L2-4.bmp; 2147483647
D:\projects\Project2_fingerprint\Project2_fingerprint\bin\samples\L2-5.bmp; 2147483647
D:\projects\Project2_fingerprint\Project2_fingerprint\bin\samples\L3-1.bmp; 3403532
D:\projects\Project2_fingerprint\Project2_fingerprint\bin\samples\L3-2.bmp; 2147483647
D:\projects\Project2_fingerprint\Project2_fingerprint\bin\samples\L3-3.bmp; 2147483647
D:\projects\Project2_fingerprint\Project2_fingerprint\bin\samples\L3-4.bmp; 2147483647
D:\projects\Project2_fingerprint\Project2_fingerprint\bin\samples\L3-5.bmp; 2147483647
D:\projects\Project2_fingerprint\Project2_fingerprint\bin\samples\L4-1.bmp; 2147483647
D:\projects\Project2_fingerprint\Project2_fingerprint\bin\samples\L4-2.bmp; 2147483647
D:\projects\Project2_fingerprint\Project2_fingerprint\bin\samples\L4-3.bmp; 2147483647
D:\projects\Project2_fingerprint\Project2_fingerprint\bin\samples\L4-4.bmp; 2147483647
D:\projects\Project2_fingerprint\Project2_fingerprint\bin\samples\L4-5.bmp; 2147483647
D:\projects\Project2_fingerprint\Project2_fingerprint\bin\samples\L5-1.bmp; 2147483647
D:\projects\Project2_fingerprint\Project2_fingerprint\bin\samples\L5-2.bmp; 2147483647
D:\projects\Project2_fingerprint\Project2_fingerprint\bin\samples\L5-3.bmp; 2147483647
D:\projects\Project2_fingerprint\Project2_fingerprint\bin\samples\L5-4.bmp; 2147483647
D:\projects\Project2_fingerprint\Project2_fingerprint\bin\samples\L5-5.bmp; 2147483647
D:\projects\Project2_fingerprint\Project2_fingerprint\bin\samples\R1-1.bmp; 2147483647
D:\projects\Project2_fingerprint\Project2_fingerprint\bin\samples\R1-2.bmp; 2147483647
D:\projects\Project2_fingerprint\Project2_fingerprint\bin\samples\R1-3.bmp; 2147483647
D:\projects\Project2_fingerprint\Project2_fingerprint\bin\samples\R1-4.bmp; 2147483647
D:\projects\Project2_fingerprint\Project2_fingerprint\bin\samples\R1-5.bmp; 2147483647
D:\projects\Project2_fingerprint\Project2_fingerprint\bin\samples\R2-1.bmp; 2147483647
D:\projects\Project2_fingerprint\Project2_fingerprint\bin\samples\R2-2.bmp; 2147483647
D:\projects\Project2_fingerprint\Project2_fingerprint\bin\samples\R2-3.bmp; 2147483647
D:\projects\Project2_fingerprint\Project2_fingerprint\bin\samples\R2-4.bmp; 2147483647
D:\projects\Project2_fingerprint\Project2_fingerprint\bin\samples\R2-5.bmp; 2147483647
D:\projects\Project2_fingerprint\Project2_fingerprint\bin\samples\R3-1.bmp; 2147483647
D:\projects\Project2_fingerprint\Project2_fingerprint\bin\samples\R3-2.bmp; 2147483647
D:\projects\Project2_fingerprint\Project2_fingerprint\bin\samples\R3-3.bmp; 2147483647
D:\projects\Project2_fingerprint\Project2_fingerprint\bin\samples\R3-4.bmp; 2147483647
D:\projects\Project2_fingerprint\Project2_fingerprint\bin\samples\R3-5.bmp; 2147483647
D:\projects\Project2_fingerprint\Project2_fingerprint\bin\samples\R4-1.bmp; 2147483647
D:\projects\Project2_fingerprint\Project2_fingerprint\bin\samples\R4-2.bmp; 2147483647
D:\projects\Project2_fingerprint\Project2_fingerprint\bin\samples\R4-3.bmp; 2147483647
D:\projects\Project2_fingerprint\Project2_fingerprint\bin\samples\R4-4.bmp; 2147483647
D:\projects\Project2_fingerprint\Project2_fingerprint\bin\samples\R4-5.bmp; 2147483647
D:\projects\Project2_fingerprint\Project2_fingerprint\bin\samples\R5-1.bmp; 2147483647
D:\projects\Project2_fingerprint\Project2_fingerprint\bin\samples\R5-2.bmp; 2147483647
D:\projects\Project2_fingerprint\Project2_fingerprint\bin\samples\R5-3.bmp; 2147483647
D:\projects\Project2_fingerprint\Project2_fingerprint\bin\samples\R5-4.bmp; 2147483647
D:\projects\Project2_fingerprint\Project2_fingerprint\bin\samples\R5-5.bmp; 2147483647
